b1,b2,b3,b4,a1,a2,y
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,1
0,0,1,0,0,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,1
0,0,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,1,0,1,0
0,0,1,1,1,0,1
0,0,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,1,1
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,0,0,0
0,1,0,1,0,1,1
0,1,0,1,1,0,0
0,1,0,1,1,1,1
0,1,1,0,0,0,0
0,1,1,0,0,1,1
0,1,1,0,1,0,1
0,1,1,0,1,1,0
0,1,1,1,0,0,0
0,1,1,1,0,1,1
0,1,1,1,1,0,1
0,1,1,1,1,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,1,0
1,0,0,1,0,0,1
1,0,0,1,0,1,0
1,0,0,1,1,0,0
1,0,0,1,1,1,1
1,0,1,0,0,0,1
1,0,1,0,0,1,0
1,0,1,0,1,0,1
1,0,1,0,1,1,0
1,0,1,1,0,0,1
1,0,1,1,0,1,0
1,0,1,1,1,0,1
1,0,1,1,1,1,1
1,1,0,0,0,0,1
1,1,0,0,0,1,1
1,1,0,0,1,0,0
1,1,0,0,1,1,0
1,1,0,1,0,0,1
1,1,0,1,0,1,1
1,1,0,1,1,0,0
1,1,0,1,1,1,1
1,1,1,0,0,0,1
1,1,1,0,0,1,1
1,1,1,0,1,0,1
1,1,1,0,1,1,0
1,1,1,1,0,0,1
1,1,1,1,0,1,1
1,1,1,1,1,0,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,1
0,0,1,0,0,0,0
0,0,1,0,0,1,0
0,0,1,0,1,0,1
0,0,1,0,1,1,0
0,0,1,1,0,0,0
0,0,1,1,0,1,0
0,0,1,1,1,0,1
0,0,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,1,1
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,0,0,0
0,1,0,1,0,1,1
0,1,0,1,1,0,0
0,1,0,1,1,1,1
0,1,1,0,0,0,0
0,1,1,0,0,1,1
0,1,1,0,1,0,1
0,1,1,0,1,1,0
0,1,1,1,0,0,0
0,1,1,1,0,1,1
0,1,1,1,1,0,1
0,1,1,1,1,1,1
1,0,0,0,0,0,1
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,1,0
1,0,0,1,0,0,1
1,0,0,1,0,1,0
1,0,0,1,1,0,0
1,0,0,1,1,1,1
1,0,1,0,0,0,1
1,0,1,0,0,1,0
1,0,1,0,1,0,1
1,0,1,0,1,1,0
1,0,1,1,0,0,1
1,0,1,1,0,1,0
1,0,1,1,1,0,1
1,0,1,1,1,1,1
1,1,0,0,0,0,1
1,1,0,0,0,1,1
1,1,0,0,1,0,0
1,1,0,0,1,1,0
1,1,0,1,0,0,1
1,1,0,1,0,1,1
1,1,0,1,1,0,0
1,1,0,1,1,1,1
1,1,1,0,0,0,1
1,1,1,0,0,1,1
1,1,1,0,1,0,1
1,1,1,0,1,1,0
1,1,1,1,0,0,1
1,1,1,1,0,1,1
1,1,1,1,1,0,1
1,1,1,1,1,1,1
